time,ax,ay,az,bx,by,bz
1801555639.0,15388.0,5324.0,9652.0,13972.0,-656.0,-7348.0
1801958618.0,14860.0,5204.0,10412.0,14028.0,-604.0,-7260.0
1802361649.0,14312.0,5648.0,10640.0,13992.0,-524.0,-7276.0
1802764632.0,14544.0,5692.0,10748.0,13960.0,-312.0,-7448.0
1803167642.0,14896.0,6336.0,9924.0,14100.0,-392.0,-7228.0
1803570631.0,14612.0,6152.0,10368.0,14004.0,-428.0,-7116.0
1803973626.0,14536.0,6108.0,10580.0,13964.0,-528.0,-7144.0
1804376658.0,14664.0,6292.0,10228.0,14060.0,-512.0,-7124.0
1804779634.0,14844.0,6316.0,10164.0,14068.0,-576.0,-7140.0
1805182634.0,14680.0,5936.0,10300.0,14076.0,-556.0,-7412.0
1805585632.0,14492.0,6132.0,10436.0,13944.0,-568.0,-7232.0
1805988630.0,14412.0,6188.0,10816.0,14036.0,-580.0,-7156.0
1806391673.0,14676.0,6384.0,10364.0,14000.0,-524.0,-7316.0
1806794631.0,14192.0,5648.0,11892.0,14192.0,-632.0,-7188.0
1807197619.0,14268.0,5376.0,11480.0,14256.0,-420.0,-6848.0
1807600631.0,14732.0,4504.0,12156.0,14216.0,-576.0,-7224.0
1808003628.0,14812.0,4692.0,11560.0,14168.0,-472.0,-6804.0
1808406672.0,14964.0,4416.0,11604.0,14276.0,-580.0,-6912.0
1808809631.0,14976.0,4424.0,11272.0,14140.0,-532.0,-6804.0
1809212644.0,14880.0,4188.0,11576.0,14292.0,-548.0,-6744.0
1809615633.0,14792.0,4320.0,11492.0,14216.0,-572.0,-6904.0
1810018629.0,14800.0,4072.0,11484.0,14208.0,-584.0,-6852.0
1810421658.0,14864.0,4248.0,11380.0,14232.0,-424.0,-6848.0
1810824631.0,14836.0,4276.0,11588.0,14336.0,-524.0,-6884.0
1811227640.0,14784.0,4216.0,11616.0,14256.0,-608.0,-6996.0
1811630631.0,14868.0,4244.0,11608.0,14204.0,-640.0,-6868.0
1812033627.0,14860.0,4036.0,11732.0,14228.0,-680.0,-6836.0
1812436618.0,14684.0,4072.0,11768.0,14212.0,-572.0,-6788.0
1812839631.0,14844.0,4076.0,11804.0,14252.0,-536.0,-6812.0
1813241659.0,14664.0,4220.0,11700.0,14292.0,-508.0,-6956.0
1813644631.0,14688.0,4356.0,11928.0,14256.0,-512.0,-6764.0
1814046656.0,14776.0,4380.0,11572.0,14256.0,-532.0,-6960.0
1814449631.0,14744.0,4204.0,11768.0,14236.0,-592.0,-6880.0
1814851658.0,14804.0,4136.0,11484.0,14180.0,-472.0,-6896.0
1815254631.0,14704.0,4228.0,11972.0,14212.0,-600.0,-6792.0
1815657642.0,15280.0,3424.0,11588.0,14324.0,-104.0,-6268.0
1816060627.0,14784.0,4332.0,11096.0,14284.0,-320.0,-6504.0
1816463627.0,15200.0,4336.0,11284.0,14244.0,-688.0,-6796.0
